Geneid	max_TPM	category	family_id	subsample_assignment1	subsample_assignment2	subsample_assignment3	subsample_assignment4	subsample_assignment5	subsample_assignment6	subsample_assignment7	subsample_assignment8	subsample_assignment9	subsample_assignment10
GRMZM2G137108	1093.87915	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G041980	1289.23938	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G154628	1391.738525	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G168439	1470.157227	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G103983	1492.734009	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G047368	1509.235107	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G056908	1610.108643	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G027098	1757.101196	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G014914	2401.308105	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G081843	2403.926025	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G037327	2408.713379	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G174807	3514.95752	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
AC209208.3_FG002	3897.13623	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G040098	0.724143	unexpressed	3	subsample3	subsample3	subsample2	subsample1	subsample4	subsample4	subsample2	subsample5	subsample3	subsample2
AC196439.3_FG002	0	unexpressed	5	subsample2	subsample1	subsample2	subsample3	subsample1	subsample2	subsample1	subsample3	subsample3	subsample4
GRMZM5G820215	0	unexpressed	7	subsample2	subsample3	subsample1	subsample1	subsample1	subsample1	subsample5	subsample4	subsample2	subsample4
GRMZM5G857005	0	unexpressed	7	subsample2	subsample3	subsample1	subsample1	subsample1	subsample1	subsample5	subsample4	subsample2	subsample4
GRMZM2G133401	0	unexpressed	7	subsample2	subsample3	subsample1	subsample1	subsample1	subsample1	subsample5	subsample4	subsample2	subsample4
AC196035.3_FG002	0	unexpressed	7	subsample2	subsample3	subsample1	subsample1	subsample1	subsample1	subsample5	subsample4	subsample2	subsample4
GRMZM5G881739	0	unexpressed	7	subsample2	subsample3	subsample1	subsample1	subsample1	subsample1	subsample5	subsample4	subsample2	subsample4
GRMZM5G859986	0	unexpressed	7	subsample2	subsample3	subsample1	subsample1	subsample1	subsample1	subsample5	subsample4	subsample2	subsample4
AC211218.4_FG002	0	unexpressed	7	subsample2	subsample3	subsample1	subsample1	subsample1	subsample1	subsample5	subsample4	subsample2	subsample4
GRMZM2G102699	0	unexpressed	7	subsample2	subsample3	subsample1	subsample1	subsample1	subsample1	subsample5	subsample4	subsample2	subsample4
GRMZM5G892400	0	unexpressed	7	subsample2	subsample3	subsample1	subsample1	subsample1	subsample1	subsample5	subsample4	subsample2	subsample4
GRMZM5G875277	0.527573	unexpressed	7	subsample2	subsample3	subsample1	subsample1	subsample1	subsample1	subsample5	subsample4	subsample2	subsample4
AC186337.3_FG003	0.633506	unexpressed	7	subsample2	subsample3	subsample1	subsample1	subsample1	subsample1	subsample5	subsample4	subsample2	subsample4
AC225716.2_FG006	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G334321	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G165086	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G307470	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM5G877773	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G435244	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G432931	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G460542	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G373621	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G005114	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G409956	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G425079	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G312375	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G318515	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G064434	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G429301	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC209946.4_FG001	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC210724.2_FG007	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G314771	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G317878	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G451941	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM5G855338	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G409485	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G395375	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC204015.3_FG006	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC177920.3_FG008	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G042738	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G421779	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G169848	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC209016.3_FG010	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM5G895349	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G313953	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G322699	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G342426	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC190858.3_FG005	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC217896.2_FG001	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G486589	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC234185.1_FG002	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G344799	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G336087	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G352830	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC190858.3_FG004	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G026110	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC204605.3_FG008	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC215501.3_FG008	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G702990	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G577735	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G165082	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G417262	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G013613	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G353828	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G703656	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM5G857132	0	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G530440	0.035175	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G445103	0.056537	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G142859	0.072363	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G009919	0.077292	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G329776	0.077917	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G109873	0.082933	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G368993	0.085315	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G466769	0.086533	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G065560	0.087327	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G358523	0.08799	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G095265	0.093369	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G058382	0.103671	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G177451	0.106774	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G004110	0.110961	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G453845	0.111331	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G068230	0.120104	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G412136	0.124959	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G085508	0.126357	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC184172.3_FG001	0.128046	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G321129	0.128593	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM5G883420	0.130809	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC204768.3_FG001	0.130819	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G371933	0.134596	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC204641.5_FG003	0.140875	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G378019	0.142012	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G369243	0.142802	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G321427	0.145326	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC187809.3_FG005	0.153675	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G377563	0.166674	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G077696	0.172423	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM5G866465	0.178669	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G416310	0.181831	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G321795	0.194301	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC230017.2_FG008	0.196743	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G130343	0.207562	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G158288	0.208355	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC225716.2_FG003	0.212626	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G316447	0.216016	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G367829	0.21635	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC205972.3_FG002	0.22204	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC208411.3_FG013	0.224537	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G327037	0.224667	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G018274	0.231327	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G495837	0.2395	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G411079	0.242766	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G463633	0.24378	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G419875	0.244389	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC211253.3_FG002	0.247709	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G064782	0.2478	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G446078	0.258684	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G313646	0.265807	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC196206.3_FG007	0.266974	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G009157	0.272799	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G373277	0.276306	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G700659	0.283068	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G081140	0.284065	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC211513.3_FG002	0.290917	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G384588	0.294819	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G076858	0.309895	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G348282	0.310136	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC234161.1_FG009	0.313291	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G337905	0.321703	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G025640	0.323243	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC198479.3_FG007	0.323662	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G170391	0.327364	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G450935	0.337778	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC197544.3_FG002	0.341675	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM2G453807	0.344586	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM5G828387	0.346256	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
GRMZM5G815757	0.3479	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
AC177899.2_FG012	0.357632	unexpressed	10	subsample5	subsample4	subsample2	subsample4	subsample3	subsample1	subsample5	subsample3	subsample5	subsample1
